CPU_time(ms), CPU_USAGE(%), GPU_time(ms), GPU_USAGE(%), RAM_time(ms), RAM_USED(Gb), VRAM_time(ms), VRAM_USED(Gb), POWER_time(ms), POWER_USE(W)
2025-04-06 13:24:05.633, 14.41, 2025-04-06 13:24:06.637, 20, 2025-04-06 13:24:06.655, 5.00, 2025-04-06 13:24:06.658, 3.75, 2025-04-06 13:24:06.676, 11.83
2025-04-06 13:24:05.734, 13.77, 2025-04-06 13:24:06.738, 20, 2025-04-06 13:24:06.756, 5.00, 2025-04-06 13:24:06.759, 3.75, 2025-04-06 13:24:06.777, 11.77
2025-04-06 13:24:05.835, 13.60, 2025-04-06 13:24:06.839, 1, 2025-04-06 13:24:06.858, 5.00, 2025-04-06 13:24:06.862, 3.75, 2025-04-06 13:24:06.880, 11.68
2025-04-06 13:24:05.936, 11.90, 2025-04-06 13:24:06.940, 1, 2025-04-06 13:24:06.959, 5.01, 2025-04-06 13:24:06.962, 3.75, 2025-04-06 13:24:06.980, 11.65
2025-04-06 13:24:06.038, 11.75, 2025-04-06 13:24:07.042, 1, 2025-04-06 13:24:07.060, 4.99, 2025-04-06 13:24:07.063, 3.75, 2025-04-06 13:24:07.082, 11.59
2025-04-06 13:24:06.139, 12.01, 2025-04-06 13:24:07.143, 1, 2025-04-06 13:24:07.165, 4.99, 2025-04-06 13:24:07.168, 3.75, 2025-04-06 13:24:07.186, 11.63
2025-04-06 13:24:06.240, 11.41, 2025-04-06 13:24:07.245, 3, 2025-04-06 13:24:07.267, 4.99, 2025-04-06 13:24:07.271, 3.75, 2025-04-06 13:24:07.288, 11.56
2025-04-06 13:24:06.341, 10.92, 2025-04-06 13:24:07.347, 3, 2025-04-06 13:24:07.369, 4.99, 2025-04-06 13:24:07.372, 3.75, 2025-04-06 13:24:07.390, 11.38
2025-04-06 13:24:06.443, 10.12, 2025-04-06 13:24:07.447, 0, 2025-04-06 13:24:07.470, 4.97, 2025-04-06 13:24:07.473, 3.75, 2025-04-06 13:24:07.492, 11.37
2025-04-06 13:24:06.543, 9.72, 2025-04-06 13:24:07.549, 0, 2025-04-06 13:24:07.571, 4.97, 2025-04-06 13:24:07.574, 3.75, 2025-04-06 13:24:07.591, 11.27
2025-04-06 13:24:06.645, 7.37, 2025-04-06 13:24:07.649, 0, 2025-04-06 13:24:07.672, 4.97, 2025-04-06 13:24:07.675, 3.75, 2025-04-06 13:24:07.692, 11.23
2025-04-06 13:24:06.746, 6.73, 2025-04-06 13:24:07.751, 0, 2025-04-06 13:24:07.773, 4.99, 2025-04-06 13:24:07.775, 3.75, 2025-04-06 13:24:07.793, 10.94
2025-04-06 13:24:06.847, 6.29, 2025-04-06 13:24:07.852, 0, 2025-04-06 13:24:07.873, 4.97, 2025-04-06 13:24:07.876, 3.75, 2025-04-06 13:24:07.894, 10.91
2025-04-06 13:24:06.948, 5.60, 2025-04-06 13:24:07.953, 0, 2025-04-06 13:24:07.975, 4.96, 2025-04-06 13:24:07.978, 3.75, 2025-04-06 13:24:07.995, 10.91
2025-04-06 13:24:07.050, 4.85, 2025-04-06 13:24:08.055, 0, 2025-04-06 13:24:08.077, 4.95, 2025-04-06 13:24:08.080, 3.75, 2025-04-06 13:24:08.098, 10.91
2025-04-06 13:24:07.151, 4.22, 2025-04-06 13:24:08.157, 0, 2025-04-06 13:24:08.180, 4.94, 2025-04-06 13:24:08.183, 3.75, 2025-04-06 13:24:08.201, 10.92
2025-04-06 13:24:07.253, 4.22, 2025-04-06 13:24:08.259, 4, 2025-04-06 13:24:08.281, 4.93, 2025-04-06 13:24:08.284, 3.75, 2025-04-06 13:24:08.303, 10.88
2025-04-06 13:24:07.355, 4.22, 2025-04-06 13:24:08.360, 4, 2025-04-06 13:24:08.383, 4.93, 2025-04-06 13:24:08.386, 3.75, 2025-04-06 13:24:08.404, 10.89
2025-04-06 13:24:07.456, 4.59, 2025-04-06 13:24:08.462, 5, 2025-04-06 13:24:08.484, 4.94, 2025-04-06 13:24:08.488, 3.75, 2025-04-06 13:24:08.505, 10.91
2025-04-06 13:24:07.558, 4.48, 2025-04-06 13:24:08.564, 5, 2025-04-06 13:24:08.586, 4.96, 2025-04-06 13:24:08.590, 3.75, 2025-04-06 13:24:08.607, 10.93
2025-04-06 13:24:07.659, 4.42, 2025-04-06 13:24:08.665, 4, 2025-04-06 13:24:08.687, 4.93, 2025-04-06 13:24:08.690, 3.75, 2025-04-06 13:24:08.707, 10.94
2025-04-06 13:24:07.761, 4.54, 2025-04-06 13:24:08.767, 4, 2025-04-06 13:24:08.789, 4.95, 2025-04-06 13:24:08.792, 3.75, 2025-04-06 13:24:08.810, 10.96
2025-04-06 13:24:07.863, 4.54, 2025-04-06 13:24:08.868, 4, 2025-04-06 13:24:08.891, 4.93, 2025-04-06 13:24:08.894, 3.75, 2025-04-06 13:24:08.911, 10.98
2025-04-06 13:24:07.964, 4.66, 2025-04-06 13:24:08.970, 4, 2025-04-06 13:24:08.993, 4.94, 2025-04-06 13:24:08.996, 3.75, 2025-04-06 13:24:09.013, 11.00
2025-04-06 13:24:08.066, 4.61, 2025-04-06 13:24:09.072, 3, 2025-04-06 13:24:09.095, 4.92, 2025-04-06 13:24:09.097, 3.75, 2025-04-06 13:24:09.115, 10.99
2025-04-06 13:24:08.167, 4.83, 2025-04-06 13:24:09.173, 3, 2025-04-06 13:24:09.195, 4.94, 2025-04-06 13:24:09.198, 3.75, 2025-04-06 13:24:09.215, 10.98
2025-04-06 13:24:08.269, 4.89, 2025-04-06 13:24:09.274, 1, 2025-04-06 13:24:09.297, 4.95, 2025-04-06 13:24:09.300, 3.75, 2025-04-06 13:24:09.317, 10.98
2025-04-06 13:24:08.371, 4.77, 2025-04-06 13:24:09.375, 1, 2025-04-06 13:24:09.397, 4.95, 2025-04-06 13:24:09.400, 3.75, 2025-04-06 13:24:09.417, 10.98
2025-04-06 13:24:08.472, 4.59, 2025-04-06 13:24:09.478, 3, 2025-04-06 13:24:09.501, 4.95, 2025-04-06 13:24:09.504, 3.75, 2025-04-06 13:24:09.520, 10.97
2025-04-06 13:24:08.574, 4.60, 2025-04-06 13:24:09.580, 3, 2025-04-06 13:24:09.603, 4.96, 2025-04-06 13:24:09.606, 3.75, 2025-04-06 13:24:09.623, 10.96
2025-04-06 13:24:08.675, 4.66, 2025-04-06 13:24:09.681, 2, 2025-04-06 13:24:09.703, 4.98, 2025-04-06 13:24:09.706, 3.75, 2025-04-06 13:24:09.724, 10.95
2025-04-06 13:24:08.777, 4.83, 2025-04-06 13:24:09.783, 2, 2025-04-06 13:24:09.806, 4.98, 2025-04-06 13:24:09.809, 3.75, 2025-04-06 13:24:09.825, 10.94
2025-04-06 13:24:08.879, 4.78, 2025-04-06 13:24:09.884, 0, 2025-04-06 13:24:09.906, 4.97, 2025-04-06 13:24:09.910, 3.75, 2025-04-06 13:24:09.927, 10.93
2025-04-06 13:24:08.980, 4.94, 2025-04-06 13:24:09.986, 0, 2025-04-06 13:24:10.009, 4.98, 2025-04-06 13:24:10.012, 3.75, 2025-04-06 13:24:10.030, 10.93
2025-04-06 13:24:09.082, 5.40, 2025-04-06 13:24:10.086, 3, 2025-04-06 13:24:10.104, 4.97, 2025-04-06 13:24:10.108, 3.75, 2025-04-06 13:24:10.125, 10.99
2025-04-06 13:24:09.183, 5.66, 2025-04-06 13:24:10.189, 3, 2025-04-06 13:24:10.211, 4.94, 2025-04-06 13:24:10.214, 3.75, 2025-04-06 13:24:10.232, 11.06
2025-04-06 13:24:09.285, 5.84, 2025-04-06 13:24:10.290, 15, 2025-04-06 13:24:10.312, 4.93, 2025-04-06 13:24:10.316, 3.75, 2025-04-06 13:24:10.334, 11.06
2025-04-06 13:24:09.386, 5.90, 2025-04-06 13:24:10.391, 15, 2025-04-06 13:24:10.414, 4.94, 2025-04-06 13:24:10.417, 3.75, 2025-04-06 13:24:10.434, 11.06
2025-04-06 13:24:09.488, 6.02, 2025-04-06 13:24:10.494, 2, 2025-04-06 13:24:10.517, 4.95, 2025-04-06 13:24:10.521, 3.75, 2025-04-06 13:24:10.537, 11.05
2025-04-06 13:24:09.590, 5.85, 2025-04-06 13:24:10.595, 2, 2025-04-06 13:24:10.617, 4.95, 2025-04-06 13:24:10.621, 3.75, 2025-04-06 13:24:10.639, 11.07
2025-04-06 13:24:09.691, 6.04, 2025-04-06 13:24:10.696, 3, 2025-04-06 13:24:10.719, 4.95, 2025-04-06 13:24:10.722, 3.75, 2025-04-06 13:24:10.740, 11.08
2025-04-06 13:24:09.793, 5.98, 2025-04-06 13:24:10.799, 3, 2025-04-06 13:24:10.822, 4.94, 2025-04-06 13:24:10.825, 3.75, 2025-04-06 13:24:10.842, 11.10
2025-04-06 13:24:09.895, 5.97, 2025-04-06 13:24:10.901, 3, 2025-04-06 13:24:10.923, 4.93, 2025-04-06 13:24:10.926, 3.75, 2025-04-06 13:24:10.944, 11.09
2025-04-06 13:24:09.996, 5.73, 2025-04-06 13:24:11.002, 3, 2025-04-06 13:24:11.024, 4.90, 2025-04-06 13:24:11.028, 3.75, 2025-04-06 13:24:11.045, 11.10
2025-04-06 13:24:10.097, 6.34, 2025-04-06 13:24:11.101, 0, 2025-04-06 13:24:11.120, 4.91, 2025-04-06 13:24:11.124, 3.75, 2025-04-06 13:24:11.142, 11.14
2025-04-06 13:24:10.199, 6.02, 2025-04-06 13:24:11.204, 0, 2025-04-06 13:24:11.224, 4.91, 2025-04-06 13:24:11.227, 3.75, 2025-04-06 13:24:11.246, 11.15
2025-04-06 13:24:10.301, 6.04, 2025-04-06 13:24:11.306, 11, 2025-04-06 13:24:11.327, 4.90, 2025-04-06 13:24:11.330, 3.75, 2025-04-06 13:24:11.348, 11.15
2025-04-06 13:24:10.402, 6.34, 2025-04-06 13:24:11.407, 11, 2025-04-06 13:24:11.429, 4.95, 2025-04-06 13:24:11.432, 3.75, 2025-04-06 13:24:11.449, 11.17
2025-04-06 13:24:10.504, 6.34, 2025-04-06 13:24:11.510, 9, 2025-04-06 13:24:11.532, 4.95, 2025-04-06 13:24:11.535, 3.75, 2025-04-06 13:24:11.553, 11.18
2025-04-06 13:24:10.605, 6.18, 2025-04-06 13:24:11.611, 2, 2025-04-06 13:24:11.633, 4.97, 2025-04-06 13:24:11.636, 3.75, 2025-04-06 13:24:11.653, 11.18
2025-04-06 13:24:10.707, 5.92, 2025-04-06 13:24:11.713, 2, 2025-04-06 13:24:11.735, 4.96, 2025-04-06 13:24:11.739, 3.75, 2025-04-06 13:24:11.756, 11.16
2025-04-06 13:24:10.808, 5.98, 2025-04-06 13:24:11.814, 0, 2025-04-06 13:24:11.836, 4.95, 2025-04-06 13:24:11.839, 3.75, 2025-04-06 13:24:11.856, 11.15
2025-04-06 13:24:10.910, 6.04, 2025-04-06 13:24:11.916, 0, 2025-04-06 13:24:11.938, 4.95, 2025-04-06 13:24:11.941, 3.75, 2025-04-06 13:24:11.959, 11.15
2025-04-06 13:24:11.012, 6.10, 2025-04-06 13:24:12.018, 0, 2025-04-06 13:24:12.040, 4.95, 2025-04-06 13:24:12.043, 3.75, 2025-04-06 13:24:12.061, 11.15
2025-04-06 13:24:11.112, 5.31, 2025-04-06 13:24:12.116, 0, 2025-04-06 13:24:12.134, 4.92, 2025-04-06 13:24:12.137, 3.75, 2025-04-06 13:24:12.154, 11.17
