query_id | cpu_time(ms) | cpu_used(%) | ram_time(ms) | ram_used(gb)
89 | 2025-04-10 22:51:52.790 | 27,7 | 2025-04-10 22:51:53.040 | 2,21
90 | 2025-04-10 22:51:53.126 | 15,6 | 2025-04-10 22:51:53.379 | 2,19
91 | 2025-04-10 22:51:53.464 | 59,4 | 2025-04-10 22:51:53.717 | 2,19
92 | 2025-04-10 22:51:53.870 | 0 | 2025-04-10 22:51:53.879 | 0
92 | 2025-04-10 22:51:53.799 | 22,0 | 2025-04-10 22:51:54.051 | 2,11
93 | 2025-04-10 22:51:54.134 | 16,7 | 2025-04-10 22:51:54.377 | 2,10
94 | 2025-04-10 22:51:54.533 | 0 | 2025-04-10 22:51:54.542 | 0
94 | 2025-04-10 22:51:54.459 | 14,2 | 2025-04-10 22:51:54.713 | 2,09
95 | 2025-04-10 22:51:54.876 | 0 | 2025-04-10 22:51:54.884 | 0
95 | 2025-04-10 22:51:54.803 | 12,1 | 2025-04-10 22:51:55.052 | 2,09
96 | 2025-04-10 22:51:55.135 | 14,4 | 2025-04-10 22:51:55.377 | 2,10
97 | 2025-04-10 22:51:55.461 | 44,8 | 2025-04-10 22:51:55.724 | 2,14
98 | 2025-04-10 22:51:55.881 | 0 | 2025-04-10 22:51:55.887 | 0
98 | 2025-04-10 22:51:55.807 | 20,1 | 2025-04-10 22:51:56.059 | 2,08
99 | 2025-04-10 22:51:56.146 | 30,5 | 2025-04-10 22:51:56.396 | 2,09
